user,post_date,post_text,favorite_count
"mpocHQ","Sun Mar 17 05:34:23 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"wklsew","Sat Mar 16 21:29:09 +0000 2019","Thought about teaming, but then... some things you got to do for self...#KLSe#LivingWealth","0"
"I_Guswar","Sat Mar 16 14:57:38 +0000 2019","RT @MustafaZarin: To Try Our free Trial Drop Your Contact Number Below!!!!FOREX CALL UPDATE USD/CAD HAS MADE HIGH OF 1.3117 OUR TARGET 1....","0"
"MuizAl","Sat Mar 16 12:23:25 +0000 2019","Check out this blogger's opinion on KLSE Stock Code 0022 PARLO Berhad :https://t.co/xTYQwdfhXu#BSKL #KLCI #PARLO #hiddengem #hotstock","0"
"AliceChoo5","Sat Mar 16 09:40:39 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"xineyeo","Sat Mar 16 05:47:11 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"aminvestresearc","Sat Mar 16 02:25:37 +0000 2019","RT @Jinkyon54197270: KLSE:SAPNRG(5218)0.345&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;0.36,OUR 1st TP DONESGX:CAPITACOM TRUST(C61U)1.98&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;2.01,OUR 1ST TP DONETo...","0"
"alanling2tweet","Fri Mar 15 10:21:22 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"Klse_2_my_soul","Fri Mar 15 09:21:20 +0000 2019","@AstarQC @Twitugal @Tincho79 @sergioXVII @AFCkola @BrittR724 @CoachDavidBaird @samkerr1 True.....but the thing is r... https://t.co/dGjyaYBn7T","3"
"AstarQC","Fri Mar 15 09:19:44 +0000 2019","@Klse_2_my_soul @Twitugal @Tincho79 @sergioXVII @AFCkola @BrittR724 @CoachDavidBaird @samkerr1 Assists isnt the onl... https://t.co/Apii5wFMxQ","8"
"Klse_2_my_soul","Fri Mar 15 09:16:03 +0000 2019","@AstarQC @Twitugal @Tincho79 @sergioXVII @AFCkola @BrittR724 @CoachDavidBaird @samkerr1 This is just goal compariso... https://t.co/ssifGYawjy","5"
"DDannfelt","Fri Mar 15 07:22:31 +0000 2019","RT @teresakok: Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","0"
"teresakok","Fri Mar 15 06:43:14 +0000 2019","Teresa Kok : EU's 'high risk' ruling on palm oil shows double standard | KLSE Screener https://t.co/UxaYcvCtEH","19"
"Jinkyon54197270","Fri Mar 15 06:29:22 +0000 2019","KLSE:SAPNRG(5218)0.345&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;0.36,OUR 1st TP DONESGX:CAPITACOM TRUST(C61U)1.98&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;2.01,OUR 1ST TP DONE... https://t.co/GGm8pSOBsL","0"
"EpicResearchMY","Fri Mar 15 05:55:19 +0000 2019","Today's KLSE Stock report &amp; SignalHeavy churning of penny oil and gas (O&amp;G) stocks on Thursday drove the totalma... https://t.co/hWe1FC4ET5","1"
"yoyoyo9407","Sun Mar 17 06:15:53 +0000 2019","RT @EXOfanbase_Int: Top 10 countries tweeting #TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO for the last 2 hrs:1. Indonesia2....","0"
"tilianker","Sun Mar 17 06:15:52 +0000 2019","What do critics of third national car project know about automotive engineering? Nothing, says Dr M | Malaysia | Ma... https://t.co/E9QCrCkzOI","0"
"Nikita24137432","Sun Mar 17 06:15:51 +0000 2019","RT @btsworIdwide: ARMY EXTREME CHALLENGEROUND 1/4 GET READY! 1. Malaysia  2. Georgia  3. Indonesia  4. Philippines  5. Russia...","0"
"Petrovn02412718","Sun Mar 17 06:15:50 +0000 2019","RT @btsvotingteam: Top Countries tweeting #TeamBTS as of 11PM (KST):1. Indonesia2. South Korea3. Brazil4. Philippines5. Thailand6. T...","0"
"RacingVms","Sun Mar 17 06:15:49 +0000 2019","DNF....Brake Master Failed in MSF Racing 2019 Round 1. It's just unfortunate....Thank you crew and VX Malaysia. ... https://t.co/F88DYnDRpV","1"
"nazzyjenner","Sun Mar 17 06:15:49 +0000 2019","RT @WillKaiKamal: Lowkey depressed that I don't have tickets to tonight's show...  @calumscott welcome to Malaysia!! https://t.co/5aGDd...","0"
"_Evilprince_","Sun Mar 17 06:15:48 +0000 2019","RT @TEAMELFforSJ:  Top countries with the most Retweeted tweets #TeamSuperJunior 1. Indonesia2. Malaysia3. Argentina4. Peru5. Philip...","0"
"horukuru","Sun Mar 17 06:15:47 +0000 2019","RT @Yannik_7: "Many times, my fellow Malaysians from the Bornean states feel that Putrajaya treats them as the stepchild of Malaysia. Now,...","0"
"Canddyy5","Sun Mar 17 06:15:45 +0000 2019","RT @EXOfanbase_Int: Top 10 countries tweeting #TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO for the last 2 hrs:1. Indonesia2....","0"
"KimAra31918934","Sun Mar 17 06:15:44 +0000 2019","RT @btsvotingteam: Top Countries tweeting #TeamBTS as of 12:25 PM (KST):1. Indonesia2. South Korea3. Vietnam4. Philippines5. Argentin...","0"
"Jeonovii_","Sun Mar 17 06:15:41 +0000 2019","RT @btsvotingteam: Top Countries tweeting #TeamBTS as of 12:25 PM (KST):1. Indonesia2. South Korea3. Vietnam4. Philippines5. Argentin...","0"
"illegirl1_20","Sun Mar 17 06:15:41 +0000 2019","RT @btsvotingteam: Top Countries tweeting #TeamBTS as of 12:25 PM (KST):1. Indonesia2. South Korea3. Vietnam4. Philippines5. Argentin...","0"
"somsirsa","Sun Mar 17 06:15:50 +0000 2019","FII Inflows, Federal Rate Decision to Guide Stock Movement This Week: Experts https://t.co/IRVOHoEFCX https://t.co/Am7NN25ONk","0"
"TDSDEMSUNHINGED","Sun Mar 17 06:15:46 +0000 2019","@JimKilbane @realDonaldTrump You actually are the laughing stock of the world. The liberals have turned into fascis... https://t.co/s6vWeHY3YD","0"
"Dev7Vatsa","Sun Mar 17 06:15:45 +0000 2019","RT @ASUSIndia: Powered by the Snapdragon(tm) 636 processor and Stock Android(tm), the Zenfone Max Pro M1 gives you an incredibly fluid performanc...","0"
"ItzIKiro","Sun Mar 17 06:15:42 +0000 2019","@Snujix1 How is it cheating? Is it the 14 pick 10 slots or the stock 2?","0"
"vfeliciano71","Sun Mar 17 06:15:41 +0000 2019","RT @JacobSHall: Took a SXSW break to hit up my regular used bookstores and made out with a serious haul. I asked the clerk why they had so...","0"
"lmjbmkmygym","Sun Mar 17 06:15:23 +0000 2019","RT @rel_lalalay: QUICK GIVEAWAY!Any GOT7/JJP/Jus2 regular albums that are not out of stock. I will be buying from Ktown4u or kpoptownJu...","0"
"geekpharm","Sun Mar 17 06:15:12 +0000 2019","@SethWaddoups About a year ago, I would write the first letter of the drug on the open stock bottle, to keep life i... https://t.co/pQFpfxhl8P","0"
"bibeypost_stock","Sun Mar 17 06:15:06 +0000 2019","Magellan Global Equities Fund $MHG Dips -0.31% on Mar 17 https://t.co/tgx5oz1Zae","0"
"mammothfishgear","Sun Mar 17 06:15:03 +0000 2019","Wapsi Head Cement and Applicator Bottle .In Stock. Only 9.49 https://t.co/TQOQzLl1nk","0"
"Aaravsingh28","Sun Mar 17 06:15:01 +0000 2019","RT @KarvyStock: The one who can name these abbreviations will be the #StockGyani and also win an #AmazonvoucherAre you the Stock Gyani we'...","0"
"DisruptRetailAU","Sun Mar 17 06:15:00 +0000 2019","To engage with customers, floor space has to be used to offer a more human interactive environment. This means prio... https://t.co/PUyEp1ROgY","0"
"BotOfDogecoin","Sun Mar 17 06:15:00 +0000 2019","RT @CryptoCEmpire: Tesla (TSLA) Stock Ends the Week in Red. Are the Reasons Model Y or Musk Himself?  #dogecoin https://t.co/0Dz86Z9DWo","0"
"delialupita01_","Sun Mar 17 06:14:59 +0000 2019","RT @s_seoulofficial: [HELP RT] WTS READY STOCK ( jakarta)Album TXT "The Dream Chapter : Star"Sealed dan sharingFirst press masih dapat...","0"
"1966_lee","Sun Mar 17 06:14:58 +0000 2019","RT @kateforster: Don't @ me about Will egging Fraser Anning. What he did was brilliant on two levels.1) He made a laughing stock of Fraser...","0"
"azrenfarhan","Fri Mar 15 12:59:23 +0000 2019","Big day tomorrow @ bursa saham malaysia . Goodnight mate","1"
"pelhambluefund","Thu Mar 14 09:09:27 +0000 2019","RT @pelhambluefund: RM750 in 10 Minutes? Sure Why Not - our latest TradeOfTheWeek installment on NAIM HOLDINGS #trade #saham #finance #bu...","0"
"pelhambluefund","Thu Mar 14 06:16:45 +0000 2019","RM750 in 10 Minutes? Sure Why Not - our latest TradeOfTheWeek installment on NAIM HOLDINGS #trade #saham #finance... https://t.co/GHCsf0EFXH","4"
"pelhambluefund","Thu Mar 14 05:00:05 +0000 2019","Missed out on the craziness (and additional profits) but grateful to exit at a 5 sen per share profit (RM750 gross... https://t.co/VUlkYzUgwa","0"
"EquityWorldSMD","Wed Mar 13 11:39:47 +0000 2019","I just published PT EquityWorld Futures : Wall Street Mixed, Saham Boeing Masih Bebani Bursa Saham https://t.co/6HiYdedttV","0"
"pelhambluefund","Wed Mar 13 09:06:22 +0000 2019","Another trade tip : try and buy into strength if external conditions are good. We went into NAIM at limit up levels... https://t.co/GFCA8uzrs9","3"
"pelhambluefund","Wed Mar 13 09:04:17 +0000 2019","Update : gave up some gains as we decided to exit late. Still, 3% gains (RM800) for 24 hours' work. #trade #saham... https://t.co/gjaVV1TB7d","0"
"_quchenko","Tue Mar 12 14:41:22 +0000 2019","RT @volunteersKL: Tips untuk apply/accept kerja. Make sure, jobseeker check company/organization dekat Bursa Saham, SSM, MOHR &amp; Jab.Kastam...","0"
"pelhambluefund","Tue Mar 12 09:50:09 +0000 2019","Setting profits is how you can manage the volatility and to avoid losing perspective. For a 15 sen stock, 10% is... https://t.co/Nc1RvCsB3o","1"
"pelhambluefund","Tue Mar 12 09:11:12 +0000 2019","Tips on handling unrealised profits/paper gains. Use the following profit target rules per successful trade:1)... https://t.co/Emnb0sVlja","5"
"pelhambluefund","Tue Mar 12 09:03:03 +0000 2019","For this rally to continue, we anticipate DAYANG to break past RM1.70 within the first hour of trading on Wednesday... https://t.co/cZdQepYwLB","0"
"pelhambluefund","Tue Mar 12 09:01:45 +0000 2019","Update, 5PM : Strong breakout as DAYANG closes at RM1.65. The price action breached our upside perimeter (RM1.63),... https://t.co/cmwN1nlGNF","1"
"x1_charlie","Mon Mar 11 08:26:05 +0000 2019","RT @WoobieKTada: That needs for endurance and tough attitude. :(https://t.co/rB6btobOxB","0"
"arsenalyst","Sat Mar 09 10:46:31 +0000 2019","RT @astutibizzle: What the hell is going on??#WowoNgemplang52Mhttps://t.co/dV3wmPeeqs","0"
"astutibizzle","Sat Mar 09 06:06:16 +0000 2019","What the hell is going on??#WowoNgemplang52Mhttps://t.co/dV3wmPeeqs","0"
